"filename", "language", "JavaScript", "CSS", "Elixir", "XML", "Markdown", "comment", "blank", "total"
"/Users/arthur/Projects/guapchat/chatserver/mix.exs", "Elixir", 0, 0, 70, 0, 0, 13, 6, 89
"/Users/arthur/Projects/guapchat/chatserver/mix.lock", "Elixir", 0, 0, 46, 0, 0, 0, 1, 47
"/Users/arthur/Projects/guapchat/chatserver/priv/repo/migrations/.formatter.exs", "Elixir", 0, 0, 4, 0, 0, 0, 1, 5
"/Users/arthur/Projects/guapchat/chatserver/priv/repo/migrations/20250227163235_create_users.exs", "Elixir", 0, 0, 13, 0, 0, 0, 3, 16
"/Users/arthur/Projects/guapchat/chatserver/priv/repo/migrations/20250227163314_create_messages.exs", "Elixir", 0, 0, 12, 0, 0, 0, 3, 15
"/Users/arthur/Projects/guapchat/chatserver/priv/repo/migrations/20250317110600_users_passhash.exs", "Elixir", 0, 0, 13, 0, 0, 0, 3, 16
"/Users/arthur/Projects/guapchat/chatserver/priv/repo/migrations/20250317175445_dialogues.exs", "Elixir", 0, 0, 10, 0, 0, 0, 2, 12
"/Users/arthur/Projects/guapchat/chatserver/priv/repo/migrations/20250317190709_messages_to_dia.exs", "Elixir", 0, 0, 8, 0, 0, 0, 2, 10
"/Users/arthur/Projects/guapchat/chatserver/priv/repo/migrations/20250318143506_create_dialogues.exs", "Elixir", 0, 0, 10, 0, 0, 0, 3, 13
"/Users/arthur/Projects/guapchat/chatserver/priv/repo/migrations/20250318152156_message_table_onlytext.exs", "Elixir", 0, 0, 12, 0, 0, 0, 2, 14
"/Users/arthur/Projects/guapchat/chatserver/priv/repo/migrations/20250318152633_message_table_onlytext_with_dia_id.exs", "Elixir", 0, 0, 12, 0, 0, 0, 2, 14
"/Users/arthur/Projects/guapchat/chatserver/priv/repo/migrations/20250318154159_message_read_default_false.exs", "Elixir", 0, 0, 8, 0, 0, 0, 2, 10
"/Users/arthur/Projects/guapchat/chatserver/priv/repo/seeds.exs", "Elixir", 0, 0, 0, 0, 0, 11, 1, 12
"/Users/arthur/Projects/guapchat/chatserver/priv/static/images/logo.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 7
"/Users/arthur/Projects/guapchat/chatserver/test/chatserver/accounts_test.exs", "Elixir", 0, 0, 53, 0, 0, 0, 15, 68
"/Users/arthur/Projects/guapchat/chatserver/test/chatserver/messages_test.exs", "Elixir", 0, 0, 49, 0, 0, 0, 15, 64
"/Users/arthur/Projects/guapchat/chatserver/test/chatserver_web/channels/chat_room_channel_test.exs", "Elixir", 0, 0, 22, 0, 0, 0, 6, 28
"/Users/arthur/Projects/guapchat/chatserver/test/chatserver_web/controllers/error_html_test.exs", "Elixir", 0, 0, 10, 0, 0, 1, 4, 15
"/Users/arthur/Projects/guapchat/chatserver/test/chatserver_web/controllers/error_json_test.exs", "Elixir", 0, 0, 10, 0, 0, 0, 3, 13
"/Users/arthur/Projects/guapchat/chatserver/test/chatserver_web/controllers/message_controller_test.exs", "Elixir", 0, 0, 74, 0, 0, 0, 19, 93
"/Users/arthur/Projects/guapchat/chatserver/test/chatserver_web/controllers/page_controller_test.exs", "Elixir", 0, 0, 7, 0, 0, 0, 2, 9
"/Users/arthur/Projects/guapchat/chatserver/test/chatserver_web/controllers/user_controller_test.exs", "Elixir", 0, 0, 82, 0, 0, 0, 19, 101
"/Users/arthur/Projects/guapchat/chatserver/test/support/channel_case.ex", "Elixir", 0, 0, 27, 0, 0, 2, 7, 36
"/Users/arthur/Projects/guapchat/chatserver/test/support/conn_case.ex", "Elixir", 0, 0, 29, 0, 0, 2, 8, 39
"/Users/arthur/Projects/guapchat/chatserver/test/support/data_case.ex", "Elixir", 0, 0, 48, 0, 0, 0, 11, 59
"/Users/arthur/Projects/guapchat/chatserver/test/support/fixtures/accounts_fixtures.ex", "Elixir", 0, 0, 22, 0, 0, 0, 3, 25
"/Users/arthur/Projects/guapchat/chatserver/test/support/fixtures/messages_fixtures.ex", "Elixir", 0, 0, 20, 0, 0, 0, 3, 23
"/Users/arthur/Projects/guapchat/chatserver/test/test_helper.exs", "Elixir", 0, 0, 2, 0, 0, 0, 1, 3
"/Users/arthur/Projects/guapchat/roadmap.xml", "XML", 0, 0, 0, 52, 0, 0, 7, 59
"Total", "-", 236, 3, 2479, 58, 12, 391, 604, 3783
